,Date,Open,High,Low,Close,CRatio,Enter,Stop,EnterPrice,Shares,Capital,Commisions,DayCng,Down
0,2006-07-17,65352.1,66109.14,64268.6,64715.4,1.0326869824203315,0,0.0,0.0,0.0,10000000.0,0.0,0.0,0.0
1,2006-07-18,64057.48,66554.78,63887.94,63886.38,1.0301975046572303,0,0.0,0.0,0.0,10000000.0,0.0,0.0,0.0
2,2006-07-19,63236.04,63236.04,60060.84,60489.05,0.9967948717948719,0,0.0,0.0,0.0,10000000.0,0.0,0.0,0.0
3,2006-07-20,60076.75,62726.73,59063.13,62474.36,0.993868791776137,0,0.0,0.0,0.0,10000000.0,0.0,0.0,0.0
4,2006-07-21,63007.21,64245.15,62743.46,63918.86,1.0211267006381044,0,0.0,0.0,0.0,10000000.0,0.0,0.0,0.0
5,2006-07-24,62925.76,62925.76,58954.12,59265.56,0.9720960415314731,0,0.0,0.0,0.0,10000000.0,0.0,0.0,0.0
6,2006-07-25,59724.75,59877.81,57199.22,57634.64,1.0164271047227926,0,0.0,0.0,0.0,10000000.0,0.0,0.0,0.0
7,2006-07-26,57969.11,58055.12,56717.22,57239.89,1.0027434842249656,0,0.0,0.0,0.0,10000000.0,0.0,0.0,0.0
8,2006-07-27,56407.61,58557.02,56167.1,58216.15,0.9854881266490765,0,0.0,0.0,0.0,10000000.0,0.0,0.0,0.0
9,2006-07-28,57442.05,57570.74,56185.55,56453.48,0.9794941900205058,0,0.0,0.0,0.0,10000000.0,0.0,0.0,0.0
10,2006-07-31,57488.91,57968.55,56933.13,57005.81,0.9803278688524589,0,60317.42427,0.0,0.0,10000000.0,0.0,0.0,0.0
11,2006-08-01,57748.67,59221.07,57748.67,58393.53,0.9779077322936972,0,60743.35043,0.0,0.0,10000000.0,0.0,0.0,0.0
12,2006-08-02,58071.23,58071.23,57180.16,57243.76,0.9521912350597609,0,61943.54335,0.0,0.0,10000000.0,0.0,0.0,0.0
