Ratio,Stop,CAGR,StDev,DrawDown,Sharpe,MaR,SM
0.94,0.5,67.34587868078191,0.2743433512999025,-41.69424881295698,245.48026537432563,1.6152318508698826,396.5075433926019
0.94,0.3,50.96234234099357,0.23892323835883422,-28.874757908939642,213.30006528897874,1.7649444023638239,376.46275625562123
0.935,0.3,46.446728913596516,0.2358744956969888,-27.028710696187797,196.91289122357395,1.718421919405408,338.37942849208224
0.935,0.5,58.59712275917308,0.2701048295510388,-41.46947219947011,216.94215115135736,1.413018291559588,306.5432277871529
0.945,0.5,64.05020652349253,0.28308042938453004,-51.11594375395837,226.26151395470785,1.2530377377319293,283.5142155816085
0.91,0.3,33.95629957535624,0.20631661844608007,-20.149596473534736,164.58344379190456,1.6852099058140328,277.35764981110464
0.93,0.3,41.881967006925656,0.23269354587610067,-27.179220820335704,179.9876608061403,1.540955396910762,277.35295729656553
0.945,0.3,47.11219979638101,0.24415263655594358,-35.07785806974102,192.96207676047777,1.3430751587714844,259.162571881954
0.905,0.3,30.091683440354622,0.19775190134685566,-18.42389628200889,152.16887036435614,1.6332963983161062,248.53686790193333
0.93,0.5,52.74447246846839,0.2671818284022219,-42.1924881840481,197.41040318455194,1.2500915385314897,246.78107463909822
0.915,0.3,33.120320896806945,0.2101109365800808,-22.044912738731583,157.6325413417193,1.5024019958408155,236.82744472125893
0.94,0.7,61.84116028776599,0.2954326393198343,-57.09275905592759,209.32406260236183,1.0831699380159032,226.73353191423732
0.905,0.5,41.34478376167039,0.22596317985444014,-33.978032879250506,182.97133094118993,1.2168092222583777,222.64120289812956
1.095,0.1,38.5843496728786,0.2358209756487392,-30.304695159930006,163.61712339936582,1.273213588496883,208.31954482284388
0.91,0.5,43.01518582328341,0.23492057320194412,-37.921433722574186,183.10523100208164,1.134323826941094,207.7006263632143
0.95,0.5,59.860412758446046,0.2909798986912372,-60.651176883031255,205.7200962254948,0.986962097601004,203.03793768939474
0.95,0.3,44.74812956554446,0.2504221880472053,-41.38469556748902,178.69075386047388,1.0812724112605938,193.21338229668785
0.925,0.3,33.415761002833655,0.22241886366068223,-26.13026585565499,150.23798095566244,1.2788144287327246,192.1264977897734
0.92,0.3,32.22626480631756,0.21558516443986,-25.14065095778073,149.48275726694288,1.2818389173946159,191.6128157442202
1.07,0.1,35.67899471316147,0.22770982177520918,-29.295767621475278,156.6862352928417,1.2178890539467198,190.82645086727211
0.96,0.5,59.41672981940174,0.30349626970702287,-61.569541722536236,195.77416841649847,0.9650344660215896,188.92882007863636
0.955,0.5,59.2898325881013,0.29676405308356324,-63.208487417639546,199.78778417413778,0.9380042935745893,187.4017993590946
1.09,0.1,36.03218578990719,0.22942935811127949,-30.32878096146845,157.05132981469006,1.1880525575915726,186.58523405950012
1.08,0.1,35.72690515891217,0.22845351444910508,-30.331920824757542,156.385885527147,1.177864908896608,184.20144680914836
1.075,0.1,35.32004497986332,0.22776592514047533,-30.33619778868748,155.07168141186867,1.1642871405932862,180.54796453801762
0.945,0.7,59.10397363948534,0.30462447441761775,-64.84883538607326,194.0224066122085,0.9114114893137824,176.8342505706772
1.085,0.1,34.981641197834776,0.22858828373623,-30.339837382797597,153.03339535196997,1.1529936946092216,176.44653990546155
0.96,0.3,45.517154090164546,0.26031241692465984,-46.45078557229731,174.8558698348155,0.9799006309445588,171.34137717549535
0.97,0.5,59.94010322437362,0.31570942272100105,-66.44672129566491,189.85845499246923,0.9020776654676596,171.26707184890336
0.915,0.5,41.705044676795566,0.24102799032801056,-42.270745695065116,173.02988179937086,0.9866171980416331,170.71425715837023
0.935,0.7,53.03110779071425,0.29216473715687513,-56.94012090590235,181.51098009558797,0.9313487036381952,169.05001600812412
0.92,0.5,42.037371968629266,0.24880174994330126,-42.17564504707043,168.95930988511554,0.9967214946377976,168.40537588166316
0.975,0.5,59.89060450917809,0.32376542318975865,-67.07275960612118,184.98147182960997,0.8929199403883237,165.17364479903972
0.955,0.3,44.25520024711671,0.25399558384652304,-47.32225567571334,174.23610118299513,0.9351878860210229,162.94349113387025
1.06,0.1,35.24194927636197,0.22536205348232838,-33.94274375834889,156.37925166104083,1.0382763847042717,162.36488405738496
1.055,0.1,34.36101284322823,0.223205115186677,-32.66049803854912,153.94366215348825,1.0520664076424062,161.95895562113662
0.97,0.3,46.296254888768004,0.27048637154926913,-48.99327021371265,171.1592884462023,0.9449513103905895,161.73719390275977
1.04,0.1,32.853734702312856,0.22049188223362215,-30.6569649358719,149.00201481115158,1.071656466027741,159.67897262353182
1.045,0.1,33.14049509863144,0.22129418428535563,-31.21248221556624,149.75764142042365,1.0617705720983532,159.00825660706326
1.035,0.1,32.338531406890404,0.21880409573104148,-30.2290571934292,147.79673707132793,1.0697829971991233,158.11043636041597
0.94,0.9,56.07502133148472,0.30974535345195287,-64.26340485565692,181.03587578169424,0.8725809262275434,157.96845217000524
1.03,0.1,31.99511964123356,0.21836128030585764,-29.864377305446943,146.52377745916377,1.0713472882422361,156.97785164388398
0.99,0.5,55.96341734539105,0.3385880336048001,-58.9340377496802,165.28468755842547,0.9495941476654505,156.9533720041933
1.05,0.1,33.4152169569105,0.2219805679388056,-32.18892135352159,150.53217165442257,1.0380968218823134,156.26696898549895
0.925,0.5,42.23971813804983,0.25733502050333557,-45.096012873416456,164.14290622174497,0.9366619230089325,153.7464101899345
0.985,0.5,55.77091430532708,0.3334629630238479,-61.66343647865349,167.24770211238894,0.9044405808397288,151.26560884263898
1.015,0.1,30.405572059278363,0.21283966675783442,-28.801024836797872,142.85669829521646,1.0557114627542847,150.8154539214905
0.965,0.5,54.703877061012165,0.3078571094705652,-65.01658799677004,177.69242735725257,0.8413833876322424,149.50745648644133
1.025,0.1,30.928645447268988,0.21596631092039764,-29.698067352577873,143.21050961818244,1.0414363022375022,149.14462357830817
1.065,0.1,34.22819177902716,0.22552793306123675,-34.93001909049729,151.76919024808032,0.979907617294688,148.71978559474059
0.98,0.5,56.15042291987311,0.3305473697717282,-64.20675378861496,169.87103227791488,0.8745251800882917,148.55649509462754
0.905,0.7,39.97291977738124,0.24890063928895848,-43.33821344348478,160.59789919211545,0.9223481219295748,148.12717070568286
1.02,0.1,30.188061424271083,0.21423786136802958,-28.802218372356634,140.90908689763464,1.0481158442033247,147.68904656963397
1.005,0.1,29.776230147890615,0.20900425645336967,-28.806369324844027,142.46709925036336,1.0336682770435124,147.26372101751016
0.93,0.7,48.640711867718586,0.289818398268026,-55.53835353878679,167.8316910120224,0.8758039943288733,146.98766536329848
1.005,0.5,57.18137508943566,0.3473858877287509,-64.63344008266053,164.604772701891,0.8847026402479223,145.62627700677209
0.9,0.5,32.017572532951235,0.21443520517395648,-33.4644193941371,149.31117540600476,0.9567646208307038,142.85565012311287
0.91,0.7,41.73147881473653,0.25762016632829465,-47.55933423521296,161.9884010227546,0.8774613750551311,142.13856510440826
0.965,0.3,42.23027290853278,0.26258802509212725,-48.26341041988474,160.82330065781397,0.8749956238304644,140.71968428555826
1.0,0.5,55.0667700989939,0.34435701920109213,-63.507031097444546,159.9118560926934,0.867097219747212,138.6591258225907
0.975,0.3,44.51685409019588,0.27731422629946784,-52.999999678453136,160.52856243344232,0.8399406483070974,134.8344648021519
1.015,0.5,55.25148961024049,0.35827375513591025,-63.40756992084191,154.2158442202415,0.8713705584241207,134.37914629603904
1.0,0.1,28.24543676731899,0.20696817197922512,-28.815663004921767,136.47236914357143,0.9802112400639408,133.77175019268404
