Ratio,Stop,CAGR,StDev,DrawDown,Sharpe,MaR,SM
1.04,0.1,50.78547401828581,0.18452466061447198,-9.891901469938913,275.223234927889,5.134045680966476,1413.0086605831502
1.055,0.1,52.44912817626304,0.19001386810684692,-10.509699707779363,276.02789574690576,4.9905448903968,1377.529604726701
1.09,0.1,53.14494910465852,0.1959188611145347,-10.858785700916629,271.25999407269853,4.894188960757589,1327.59766848577
1.045,0.1,51.867332080295036,0.18612509507619107,-11.00432420387627,278.6692039515839,4.713359141311448,1313.4680398471824
1.03,0.1,50.17002913364554,0.1834857860088676,-10.953562016910078,273.42733311898553,4.580247873357835,1252.3649610361379
1.095,0.1,52.500150472301364,0.19601585524696635,-11.385953224027434,267.83624419644434,4.61095785652025,1234.9816344384712
1.06,0.1,51.01985562389291,0.19020555624455004,-11.368245292132094,268.2353587941245,4.48792705583187,1203.8207240629206
1.035,0.1,48.95388245319323,0.18351156744813932,-11.433360011588201,266.7618348746745,4.2816706902937,1142.1863296718614
1.05,0.1,49.92462558577031,0.18643902539439414,-12.091590791856765,267.7799107786553,4.128871580685039,1105.628863492365
1.065,0.1,49.54572648576527,0.19050458152097632,-12.295456227870583,260.07629890155596,4.02959642713038,1048.0025248350025
0.97,0.1,39.61911091557246,0.1532806921125878,-11.308671186357145,258.47424336048414,3.5034276143221157,905.5458017801349
1.08,0.1,47.81540024217556,0.19076994893828275,-13.72426123991074,250.64429963046558,3.4840053979099674,873.2460928679053
1.075,0.1,47.81540024217556,0.19076994893828275,-13.72426123991074,250.64429963046558,3.4840053979099674,873.2460928679053
1.07,0.1,47.81540024217556,0.19076994893828275,-13.72426123991074,250.64429963046558,3.4840053979099674,873.2460928679053
1.025,0.1,43.528058784683445,0.17307199377911076,-12.696740162711551,251.50261364780755,3.4282861763619388,862.2229336876761
1.005,0.1,43.999404836888935,0.16720939781602778,-13.604101703250059,263.13954485560254,3.234274911836138,851.0656282384554
1.085,0.1,47.13705143721641,0.19088134513750052,-13.72539333885905,246.94425431286354,3.4342951253544745,848.0794488209629
0.975,0.1,38.40888249278598,0.15582875436293492,-12.26055568251333,246.48135480393617,3.1327195510042674,772.1569591523105
1.01,0.1,42.617285719647114,0.16741762669231705,-14.409813760179569,254.55674268976398,2.957518149014303,752.856186458941
0.985,0.1,40.243508855672786,0.16185701227751184,-13.864942334748243,248.63617763234936,2.9025370523766783,721.6757181392035
0.98,0.1,38.96164893340141,0.15683743507388548,-13.526727184817178,248.42059496220872,2.8803455855259052,715.5371640531168
0.965,0.1,32.47879704313033,0.1414572711839208,-11.015837804643668,229.60146743465626,2.9483728445456108,676.9507316521639
0.945,0.1,25.737027011454483,0.12243499581237949,-8.160227030393107,210.20972672628778,3.153959677297684,662.993001870477
1.0,0.1,41.12838558853451,0.16497844931349293,-15.815140415506502,249.29550350168546,2.6005703716805932,648.3105001996788
0.96,0.1,29.853752434582947,0.13593894984969054,-10.61328424753083,219.61146873352067,2.8128665678136713,617.7377583089776
0.995,0.1,38.66780812240032,0.16274153242922865,-15.254806413662802,237.60258088521917,2.5347950720481065,602.2738511337652
1.015,0.1,39.9161577807758,0.16784176359352845,-16.232227566212632,237.8201761359165,2.4590683945228347,584.816078715686
1.02,0.1,39.391714533865894,0.16789944217810027,-16.23579103872419,234.61492202029422,2.4262269968806702,569.229057676691
0.935,0.1,23.01405533364789,0.11392141627409097,-8.434502187048686,202.01693488673695,2.7285611910785135,551.2155684725855
0.99,0.1,37.4823601503671,0.16231143049493593,-16.03969281870211,230.92865386049652,2.3368502485697897,539.6456821757882
0.94,0.1,23.432588518699472,0.11558478328992244,-8.980522473388497,202.73073887177068,2.609267844731307,528.9787980767305
0.955,0.1,24.43377475951167,0.13137749799777024,-13.28303147078973,185.981428569498,1.839472774964297,342.1077745025587
0.95,0.1,21.49022969265988,0.123237977995213,-11.580582620470325,174.37992769967906,1.85571230714013,323.5989779505005
0.905,0.1,7.6006623241915205,0.07107826758537011,-3.5286852745314734,106.93370255630637,2.1539643614719113,230.33138434652173
0.93,0.1,13.310409008271517,0.10509237069915045,-8.45445385301864,126.65437956838399,1.5743665102056321,199.4004135633362
0.925,0.1,10.256579258408394,0.09847379635921359,-7.990525411702443,104.15541634034655,1.2835925962249273,133.69312127119363
0.915,0.1,6.801395527855392,0.07341576420840247,-4.82580989979029,92.64216753977436,1.4093790822864682,130.56793306823644
0.91,0.1,6.071313822072,0.07174667021361907,-4.015647220609997,84.6215413760001,1.5119141419872377,127.94050512313272
0.92,0.1,8.093284950511158,0.08116356770677893,-6.853700569567156,99.71573674225255,1.1808635157550058,117.75067546555695
0.9,0.1,3.944750255768792,0.0628105956524643,-5.34059167418749,62.803898208439044,0.7386354352523947,46.389184688737465
1.03,0.3,14.249939833897463,0.224617257558781,-33.99958502761855,63.440983959873776,0.41912099286864674,26.58944818582619
1.055,0.3,14.856363303705633,0.23597065112693652,-36.936250346620916,62.958521463391214,0.40221633664189077,25.322945863395066
1.025,0.3,11.381575306865898,0.21798186776849018,-36.1458752772775,52.21340391006198,0.3148789514586948,16.440901875289633
1.035,0.3,11.490846442740388,0.225171597933565,-36.24245952851596,51.031509072164006,0.3170548189120351,16.179785867682835
1.04,0.3,11.352212262382167,0.2274234506770734,-36.354551273145454,49.91663009502734,0.3122638532130053,15.5871592528815
1.06,0.3,12.079261539295572,0.23647289084353293,-39.761701249839255,51.080956875044336,0.303791366053393,15.517953668384177
1.09,0.3,12.432829180757498,0.2445409197402957,-42.156500008272126,50.84150821858876,0.2949208112228927,14.994218847621562
1.095,0.3,11.024413336122318,0.2450033642522566,-42.16380846776096,44.99698757104221,0.2614662606806911,11.765194082095942
1.045,0.3,9.312837785005911,0.23049124794062584,-37.996733992621024,40.40430110997048,0.24509574393458308,9.902922238705116
1.05,0.3,9.554527834068027,0.23410561454237966,-40.03629242418445,40.81289486689518,0.2386466691979822,9.739861420311959
1.065,0.3,8.823147879431126,0.23808498971556036,-42.22281758053526,37.058816223450805,0.20896634533216468,7.744045388550848
1.02,0.3,7.782778416634528,0.2146945796433535,-39.04530790248073,36.250465333419825,0.19932685474200224,7.225691237844561
1.085,0.3,8.520996596129438,0.2423963185053874,-44.98332984949738,35.15316011674515,0.18942565222802524,6.658910282990654
1.015,0.3,6.72841509005182,0.2139711796634959,-39.05094998370407,31.44542690577925,0.17229837155970806,5.417995848865594
0.935,0.3,3.422158495372618,0.14107884435407114,-27.028710696187797,24.257063566411784,0.12661197693959145,3.0712347728927325
1.08,0.3,5.097412650744082,0.2393470926366105,-45.001452086242466,21.29715717283955,0.11327218155039108,2.412375453789095
1.075,0.3,5.097412650744082,0.2393470926366105,-45.001452086242466,21.29715717283955,0.11327218155039108,2.412375453789095
1.07,0.3,5.097412650744082,0.2393470926366105,-45.001452086242466,21.29715717283955,0.11327218155039108,2.412375453789095
0.94,0.3,3.0773462966883436,0.14283802462650322,-28.874757908939642,21.544307300069942,0.10657565706327862,2.296098706478144
1.005,0.3,1.22681697190119,0.20261790968775695,-42.927210406784,6.0548298706257935,0.028579005257404522,0.1730410147053045
0.945,0.3,0.1721025359036732,0.14903425725394315,-33.02074463601953,1.1547850747524673,0.0052119519956537,0.006018684374907229
1.0,0.3,-0.7280529466818342,0.20121492000465346,-43.14282348672843,-3.618285098664635,0.01687541259106042,-0.06106005391205147
1.01,0.3,-1.6015980108035732,0.203075716665505,-43.91107344124173,-7.886703723624604,0.036473670199538684,-0.28765703057695746
0.895,0.1,-0.3430999480915742,0.05122481227781152,-7.69145892633103,-6.697924947597923,0.04460791527040492,-0.29878046854997947
0.99,0.3,-1.9503748927109377,0.19946003378176186,-40.34567918189494,-9.778274152128793,0.04834160515473899,-0.47269746815700026
0.995,0.3,-2.4550424990955166,0.19852084386945582,-41.07289161234795,-12.366673701578229,0.05977281858473886,-0.7391909436610965
0.985,0.3,-4.218299998564923,0.19628827033719115,-42.72217116552854,-21.49033149723401,0.09873795931908452,-2.1219114771275325
0.97,0.3,-4.209993293910774,0.18220239762493615,-43.938224841837716,-23.106135532733493,0.0958161898680541,-2.2139418693213835
1.025,0.5,-5.832946756565982,0.2701554770399744,-52.74286076923356,-21.59107348285555,0.11059215733645812,-2.38780339567899
1.03,0.5,-7.5192237186285755,0.28583092235367497,-53.93589426316385,-26.30654394112268,0.1394103837778382,-3.6674053867004774
0.95,0.3,-4.920139942649559,0.1509569453713335,-37.47740226898498,-32.59300147168907,0.13128284365432924,-4.278901916433079
